"Rndrng_Prvdr_Geo_Lvl","Rndrng_Prvdr_Geo_Cd","Rndrng_Prvdr_Geo_Desc","HCPCS_Cd","HCPCS_Desc","HCPCS_Drug_Ind","Place_Of_Srvc","Tot_Rndrng_Prvdrs","Tot_Benes","Tot_Srvcs","Tot_Bene_Day_Srvcs","Avg_Sbmtd_Chrg","Avg_Mdcr_Alowd_Amt","Avg_Mdcr_Pymt_Amt","Avg_Mdcr_Stdzd_Amt"
State,"13",Georgia,"94010",Test to measure expiratory airflow and volume,N,F,136,2919,3502,3502,39.08673,7.808521,5.9527955,6.045911
State,"13",Georgia,"94010",Test to measure expiratory airflow and volume,N,O,878,21550,27636,27619,106.030556,24.715433,18.247477,19.200548
State,"13",Georgia,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,160,3676,3743,3743,82.09992,9.798041,7.4014535,7.542883
State,"13",Georgia,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,599,16596,19489,19378,172.99513,34.895325,26.340195,28.242788
State,"13",Georgia,"94726",Test to determine lung volumes using sensors,N,F,143,3314,3372,3372,80.44385,11.455935,8.707447,8.886583
State,"13",Georgia,"94726",Test to determine lung volumes using sensors,N,O,276,13199,14324,14324,165.4216,49.97723,38.167202,39.918293
State,"13",Georgia,"94729",Test to examine how well the lungs exchange gases,N,F,176,5343,5525,5525,56.37065,8.489588,6.4967766,6.627312
State,"13",Georgia,"94729",Test to examine how well the lungs exchange gases,N,O,350,22910,25169,25166,165.42007,51.43363,38.92812,41.608562
State,"15",Hawaii,"94726",Test to determine lung volumes using sensors,N,O,12,237,257,257,92.2907,48.783543,37.030663,36.080544
State,"15",Hawaii,"94010",Test to measure expiratory airflow and volume,N,F,22,221,237,237,25.880423,7.990633,5.6931224,5.5787764
State,"15",Hawaii,"94010",Test to measure expiratory airflow and volume,N,O,39,314,355,355,54.11766,28.135803,20.236,19.034422
State,"15",Hawaii,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,27,574,581,581,37.425114,10.09253,7.670568,7.600878
State,"15",Hawaii,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,21,80,81,81,77.07173,24.06926,16.158766,16.41963
State,"15",Hawaii,"94726",Test to determine lung volumes using sensors,N,F,24,464,468,468,33.819958,11.79359,8.907585,8.789402
State,"15",Hawaii,"94729",Test to examine how well the lungs exchange gases,N,F,25,652,665,665,29.46555,8.678301,6.587564,6.5598946
State,"15",Hawaii,"94729",Test to examine how well the lungs exchange gases,N,O,15,255,276,276,90.32369,51.10761,39.406956,38.025036
State,"16",Idaho,"94010",Test to measure expiratory airflow and volume,N,F,40,1143,1229,1229,28.007095,7.6632466,5.6053295,5.8795605
State,"16",Idaho,"94010",Test to measure expiratory airflow and volume,N,O,84,1082,1417,1417,68.57102,20.410437,14.643648,16.1059
State,"16",Idaho,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,47,2490,2566,2566,46.906055,9.62371,7.031473,7.3442945
State,"16",Idaho,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,61,807,976,841,98.774376,16.37081,11.530563,12.828607
State,"16",Idaho,"94726",Test to determine lung volumes using sensors,N,F,43,2907,3024,3024,46.719246,11.258664,8.20957,8.545879
State,"16",Idaho,"94726",Test to determine lung volumes using sensors,N,O,32,745,967,777,107.80056,20.390766,14.078159,15.786319
State,"16",Idaho,"94729",Test to examine how well the lungs exchange gases,N,F,45,3314,3463,3463,33.053883,8.3250475,6.0828705,6.3688045
State,"16",Idaho,"94729",Test to examine how well the lungs exchange gases,N,O,33,905,1155,969,81.446625,17.755991,12.556935,14.1184845
State,"17",Illinois,"94010",Test to measure expiratory airflow and volume,N,F,254,5438,5779,5779,53.737595,8.128847,6.2271066,6.1027513
State,"17",Illinois,"94010",Test to measure expiratory airflow and volume,N,O,507,8879,11712,11712,111.63255,25.821547,19.402727,19.111893
State,"17",Illinois,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,317,14526,14854,14854,94.82689,10.166456,7.835644,7.7030573
