hcpcs_code,seq_num,record_id,long_description,short_description
G9173,00100,3,"Voice functional limitation, discharge status at discharge from therapy or to",Voice d/c status
G9174,00100,3,"Other speech language pathology functional limitation, current status at",Speech lang current status
G9175,00100,3,"Other speech language pathology functional limitation, projected goal status at",Speech lang goal status
G9176,00100,3,"Other speech language pathology functional limitation, discharge status at",Speech lang d/c status
G9186,00100,3,"Motor speech functional limitation, projected goal status at therapy episode",Motor speech goal status
G9187,00100,3,Bundled payments for care improvement initiative home visit for patient,Bpci home visit
G9188,00100,3,"Beta-blocker therapy not prescribed, reason not given",Beta not given no reason
G9189,00100,3,Beta-blocker therapy prescribed or currently being taken,Beta pres or already taking
G9190,00100,3,Documentation of medical reason(s) for not prescribing beta-blocker therapy,Medical reason for no beta
G9191,00100,3,Documentation of patient reason(s) for not prescribing beta-blocker therapy,Pt reason for no beta
G9192,00100,3,"Documentation of system reason(s) for not prescribing beta-blocker therapy (eg,",System reason for no beta
G9193,00100,3,Clinician documented that patient with a diagnosis of major depression was not,Doc not eligible for dep med
G9194,00100,3,Patient with a diagnosis of major depression documented as being treated with,Mdd pt treated for 180d
G9195,00100,3,Patient with a diagnosis of major depression not documented as being treated,Mdd pt not treated for 180d
G9196,00100,3,Documentation of medical reason(s) for not ordering a first or second,Med reason for no ceph
G9197,00100,3,Documentation of order for first or second generation cephalosporin for,Order for ceph
G9198,00100,3,Order for first or second generation cephalosporin for antimicrobial,No order for ceph no reason
G9199,00100,3,Venous thromboembolism (vte) prophylaxis not administered the day of or the day,Doc reason for no vte
G9200,00100,3,Venous thromboembolism (vte) prophylaxis was not administered the day of or the,No reason for no vte
G9201,00100,3,Venous thromboembolism (vte) prophylaxis administered the day of or the day,Vte given upon admission
G9202,00100,3,Patients with a positive hepatitis c antibody test,Hep c aby pos
G9203,00100,3,Rna testing for hepatitis c documented as performed within 12 months prior to,Hep c rna done prior to med
G9204,00100,3,Rna testing for hepatitis c was not documented as performed within 12 months,No reason for no hep c rna
G9205,00100,3,Patient starting antiviral treatmentfor hepatitis c during the measurement,Hep c antiviral started
G9206,00100,3,Patient starting antiviral treatment for hepatitis c during the measurement,Hep c therapy started
G9207,00100,3,Hepatitis c genotype testing documented as performed within 12 months prior to,Hep c genotype prior to med
G9208,00100,3,Hepatitis c genotype testing was not documented as performed within 12 months,No reason for no hep c geno
G9209,00100,3,Hepatitis c quantitative rna testing documented as performed between 4-12 weeks,Hep c rna 4to12 wk after med
G9210,00100,3,Hepatitis c quantitative rna testing not performed between 4-12 weeks after the,No hepc rna after med docrsn
G9211,00100,3,Hepatitis c quantitative rna testing was not documented as performed between,No hepc rna after med no rsn
G9212,00100,3,Dsm-ivtm criteria for major depressive disorder documented at the initial,Doc of dsm-iv init eval
G9213,00100,3,Dsm-iv-tr criteria for major depressive disorder not documented at the initial,No doc of dsm-iv
G9214,00100,3,Cd4+ cell count or cd4+ cell percentage results documented,Cd4 count documented
G9215,00100,3,"Cd4+ cell count or percentage not documented as performed, reason not given",No cd4 count no reason
G9216,00100,3,"Pcp prophylaxis was not prescribed at time of diagnosis of hiv, reason not given",No pcp proph at dx no reason
G9217,00100,3,Pcp prophylaxis was not prescribed within 3 months of low cd4+ cell count below,No pcp proph low cd4 norsn
G9218,00100,3,Pcp prophylaxis was not prescribed within 3 months oflow cd4+ cell count below,No pcp prop low at cd4 norsn
G9219,00100,3,Pneumocystis jiroveci pneumonia prophylaxis not prescribed within 3 months of,No oder pjp for med reason
G9220,00100,3,Pneumocystis jiroveci pneumonia prophylaxis not prescribed within 3 months of,No order for pjp for medrsn
G9221,00100,3,Pneumocystis jiroveci pneumonia prophlaxis prescribed,Pjp proph prescribed
G9222,00100,3,Pneumocystis jiroveci pneumonia prophylaxis prescribed wthin 3 months of low,Pjp proph ordered low cd4
G9223,00100,3,Pneumocystis jiroveci pneumonia prophylaxis prescribed within 3 months of low,Pjp proph ordered cd4 low
G9224,00100,3,"Documentation of medical reason for not performing foot exam (e.g., patient",Medrsn no foot exam
G9225,00100,3,"Foot exam was not performed, reason not given",Norsn no foot exam
G9226,00100,3,"Foot examination performed (includes examination through visual inspection,",3 comp foot exam completed
G9227,00100,3,"Functional outcome assessment documented, care plan not documented,","Foa doc, care plan not doc"
G9228,00100,3,"Chlamydia, gonorrhea and syphilis screening results documented (report when",Gc chl syp documented
