"Rndrng_Prvdr_Geo_Lvl","Rndrng_Prvdr_Geo_Cd","Rndrng_Prvdr_Geo_Desc","HCPCS_Cd","HCPCS_Desc","HCPCS_Drug_Ind","Place_Of_Srvc","Tot_Rndrng_Prvdrs","Tot_Benes","Tot_Srvcs","Tot_Bene_Day_Srvcs","Avg_Sbmtd_Chrg","Avg_Mdcr_Alowd_Amt","Avg_Mdcr_Pymt_Amt","Avg_Mdcr_Stdzd_Amt"
State,"06",California,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,O,275,4594,4933,4902,559.66736,86.82308,65.876755,58.316574
State,"06",California,"95810",Sleep study in sleep lab (6 years or older),N,F,97,2408,2443,2443,569.2684,122.96836,93.146805,87.49353
State,"06",California,"95810",Sleep study in sleep lab (6 years or older),N,O,281,12397,13863,13849,2126.781,565.7383,442.98987,381.7665
State,"06",California,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,F,87,2296,2411,2410,536.52966,126.91002,96.835945,91.456245
State,"06",California,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,O,295,12165,14346,14333,2329.6897,600.4908,471.07227,409.47363
State,"06",California,G0398,"Home sleep study test (hst) with type ii portable monitor, unattended; minimum of 7 channels: eeg, eog, emg, ecg/heart rate, airflow, respiratory effort and oxygen saturation",N,O,21,539,618,614,1069.5719,150.86206,117.42658,117.26903
State,"06",California,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,F,16,222,223,223,235.49165,46.460403,35.891167,35.224842
State,"06",California,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,O,157,7725,10006,9994,838.18207,87.53093,65.88487,65.82403
State,"06",California,G0400,"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels",N,O,17,510,540,539,648.2845,96.80102,65.00872,64.97787
State,"08",Colorado,"95800","Sleep study including heart rate, breathing, and sleep time",N,F,18,267,270,270,148.93333,40.541668,30.098185,29.365927
State,"08",Colorado,"95800","Sleep study including heart rate, breathing, and sleep time",N,O,64,1806,2214,2214,360.63956,112.20185,85.838356,85.10381
State,"08",Colorado,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,F,27,886,900,900,165.44856,43.68247,31.445688,30.934055
State,"08",Colorado,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,O,59,2451,2712,2711,316.00848,65.108,47.659424,47.163174
State,"08",Colorado,"95810",Sleep study in sleep lab (6 years or older),N,F,45,1177,1200,1200,375.51526,116.78975,89.312744,88.44405
State,"08",Colorado,"95810",Sleep study in sleep lab (6 years or older),N,O,47,981,1073,1059,953.1899,347.59946,266.91846,267.6466
State,"08",Colorado,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,F,49,2163,2290,2290,438.32886,121.40859,92.66615,91.57035
State,"08",Colorado,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,O,52,1969,2318,2291,1075.862,387.35727,300.6117,300.6992
State,"08",Colorado,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,O,21,488,587,492,297.10123,72.98056,48.66429,48.639915
State,"09",Connecticut,"95800","Sleep study including heart rate, breathing, and sleep time",N,O,28,464,479,479,544.4307,155.24992,119.02094,108.88305
State,"09",Connecticut,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,F,25,278,279,279,265.1828,45.511684,33.167168,31.317705
State,"09",Connecticut,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,O,73,1266,1366,1366,498.51575,70.930145,53.041668,49.2177
State,"09",Connecticut,"95810",Sleep study in sleep lab (6 years or older),N,F,26,666,669,669,651.3599,122.13434,94.18022,88.948105
State,"09",Connecticut,"95810",Sleep study in sleep lab (6 years or older),N,O,50,1226,1255,1255,1550.6917,332.44617,260.15573,238.30452
State,"09",Connecticut,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,F,24,480,526,526,855.8706,126.49011,97.68357,92.44844
State,"09",Connecticut,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,O,44,727,779,779,1690.0944,337.07602,265.09,242.81909
State,"09",Connecticut,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,F,3,193,194,194,203.83505,46.755207,35.50768,34.68464
State,"09",Connecticut,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,O,30,299,300,300,297.51,50.3424,38.448532,38.046368
State,"10",Delaware,"95800","Sleep study including heart rate, breathing, and sleep time",N,O,21,1030,1119,1119,355.0818,135.9605,104.76441,104.46635
State,"10",Delaware,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,F,11,380,389,389,264.36032,43.686092,32.93013,32.35391
State,"10",Delaware,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,O,17,407,444,444,627.4144,68.2082,49.69002,49.03838
State,"10",Delaware,"95810",Sleep study in sleep lab (6 years or older),N,F,11,178,179,179,749.46014,117.79481,87.581955,85.78123
State,"10",Delaware,"95810",Sleep study in sleep lab (6 years or older),N,O,20,813,961,961,2528.487,475.56125,371.486,365.58017
State,"10",Delaware,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,F,12,191,197,197,819.1123,121.86391,92.73802,91.1562
State,"10",Delaware,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,O,17,569,650,650,2481.8909,547.9926,429.8582,421.93448
State,"10",Delaware,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,O,11,231,234,234,742.3077,88.19034,65.753975,64.64748
State,"11",District of Columbia,"95800","Sleep study including heart rate, breathing, and sleep time",N,F,3,20,21,21,204.0,44.454285,35.564285,31.61
